hd,jcd,rno,waku,toban,grade,localWin,motor2
20250720,13,1,1,4329,B1,0.00,29.03
20250720,13,1,2,4615,B1,0.00,20.43
20250720,13,1,3,4953,A1,7.41,46.24
20250720,13,1,4,3931,B2,5.50,47.92
20250720,13,1,5,5336,B2,1.25,22.35
20250720,13,1,6,4945,B1,6.18,52.13
20250720,13,2,1,4839,A1,4.90,20.00
20250720,13,2,2,3392,B1,5.28,43.16
20250720,13,2,3,3788,B1,4.89,28.26
20250720,13,2,4,4790,A2,5.65,8.70
20250720,13,2,5,3072,B1,4.63,31.91
20250720,13,2,6,5375,B2,0.00,34.74
20250720,13,3,1,4583,A2,4.78,23.26
20250720,13,3,2,3350,B1,5.49,41.94
20250720,13,3,3,4656,B1,4.92,25.30
20250720,13,3,4,3722,B1,3.41,50.00
20250720,13,3,5,4145,B1,3.17,42.55
20250720,13,3,6,4066,A1,4.67,43.96
20250720,13,4,1,5166,A2,4.29,26.37
20250720,13,4,2,4600,A2,5.79,30.43
20250720,13,4,3,4973,B1,5.66,21.92
20250720,13,4,4,4732,A1,0.00,27.66
20250720,13,4,5,4346,B1,3.57,30.11
20250720,13,4,6,5404,B2,0.00,35.63
20250720,13,5,1,4522,A1,7.89,20.69
20250720,13,5,2,5243,B1,1.43,31.18
20250720,13,5,3,3792,A1,6.82,25.29
20250720,13,5,4,4710,A2,5.90,29.79
20250720,13,5,5,4404,B1,3.86,38.54
20250720,13,5,6,3615,B1,4.81,34.41
20250720,13,6,1,4079,A2,0.00,42.71
20250720,13,6,2,5047,B1,3.00,22.62
20250720,13,6,3,3072,B1,4.63,31.91
20250720,13,6,4,4983,A1,6.75,38.71
20250720,13,6,5,4329,B1,0.00,29.03
20250720,13,6,6,5403,B2,0.00,20.48
20250720,13,7,1,4080,A1,0.00,27.16
20250720,13,7,2,4145,B1,3.17,42.55
20250720,13,7,3,3955,B1,4.40,30.77
20250720,13,7,4,5014,B1,4.35,24.39
20250720,13,7,5,4615,B1,0.00,20.43
20250720,13,7,6,4264,A1,7.21,39.56
20250720,13,8,1,4934,A1,5.14,30.43
20250720,13,8,2,3931,B2,5.50,47.92
20250720,13,8,3,4346,B1,3.57,30.11
20250720,13,8,4,4718,A2,6.64,24.18
20250720,13,8,5,4544,A1,7.41,37.36
20250720,13,8,6,4656,B1,4.92,25.30
20250720,13,9,1,4732,A1,0.00,27.66
20250720,13,9,2,3282,B1,4.85,42.39
20250720,13,9,3,4710,A2,5.90,29.79
20250720,13,9,4,4945,B1,6.18,52.13
20250720,13,9,5,3392,B1,5.28,43.16
20250720,13,9,6,3963,A2,6.67,37.36
20250720,13,10,1,4983,A1,6.75,38.71
20250720,13,10,2,4953,A1,7.41,46.24
20250720,13,10,3,4790,A2,5.65,8.70
20250720,13,10,4,5243,B1,1.43,31.18
20250720,13,10,5,4583,A2,4.78,23.26
20250720,13,10,6,5166,A2,4.29,26.37
20250720,13,11,1,4066,A1,4.67,43.96
20250720,13,11,2,4080,A1,0.00,27.16
20250720,13,11,3,4839,A1,4.90,20.00
20250720,13,11,4,4973,B1,5.66,21.92
20250720,13,11,5,4079,A2,0.00,42.71
20250720,13,11,6,3792,A1,6.82,25.29
20250720,13,12,1,4264,A1,7.21,39.56
20250720,13,12,2,3788,B1,4.89,28.26
20250720,13,12,3,4544,A1,7.41,37.36
20250720,13,12,4,4600,A2,5.79,30.43
20250720,13,12,5,4522,A1,7.89,20.69
20250720,13,12,6,3350,B1,5.49,41.94
20250721,12,1,1,4331,B1,5.28,47.62
20250721,12,1,2,3892,B1,6.52,24.19
20250721,12,1,3,3385,B1,4.76,24.19
20250721,12,1,4,5092,B1,0.00,35.48
20250721,12,1,5,4361,A1,6.76,39.39
20250721,12,1,6,3977,B1,4.66,38.71
20250721,12,2,1,4152,B1,5.46,35.48
20250721,12,2,2,4526,A2,7.17,35.48
20250721,12,2,3,4472,A1,6.78,34.38
20250721,12,2,4,4258,B1,4.26,29.69
20250721,12,2,5,4695,B1,0.00,45.45
20250721,12,2,6,5071,B1,0.00,28.57
20250721,12,3,1,4895,B1,4.98,50.00
20250721,12,3,2,4570,A1,6.46,45.16
20250721,12,3,3,4196,B1,7.00,27.69
20250721,12,3,4,5075,A2,5.86,42.42
