hd,jcd,rno,chaku,waku,toban,name,motorNo,boatNo,tenjiT,shinnyu,st,raceTime
251130,24,1,01,1,3527,中　嶋　　誠一郎,31,30,6.85,1,0.13,1.48.9
251130,24,1,02,5,4981,牧　山　　敦　也,46,23,6.92,5,0.25,1.50.6
251130,24,1,03,2,3508,久　富　　政　弘,40,61,6.89,2,0.14,1.52.2
251130,24,1,04,4,3297,藤　丸　　光　一,73,69,6.78,4,0.20,1.53.8
251130,24,1,05,6,3712,淺　香　　文　武,26,20,6.92,6,0.22,
251130,24,1,06,3,3726,桂　林　　　　寛,74,14,6.90,3,0.14,
251130,24,2,01,2,5083,柳　瀬　　幹　太,65,54,6.75,2,0.08,1.49.1
251130,24,2,02,5,4977,馬　野　　　　耀,17,53,6.88,5,0.19,1.50.2
251130,24,2,03,3,3773,津　留　　浩一郎,64,40,6.83,3,0.20,1.51.5
251130,24,2,04,1,5073,上　原　　健次郎,38,33,6.82,1,0.14,1.52.7
251130,24,2,05,4,3893,汐　崎　　正　則,20,39,6.86,4,0.19,
251130,24,2,06,6,4163,山　崎　　裕　司,37,56,6.83,6,0.23,
251130,24,3,01,1,4467,渡　邉　　俊　介,14,66,6.82,1,0.09,1.49.2
251130,24,3,02,6,4926,吉　川　　貴　仁,34,68,6.73,6,0.22,1.50.4
251130,24,3,03,4,3523,寳　田　　亮　治,28,55,6.84,4,0.06,1.51.6
251130,24,3,04,2,5170,佐　藤　　太　亮,69,25,6.88,2,0.11,1.53.5
251130,24,3,05,3,3853,岩　崎　　正　哉,54,62,6.86,3,0.09,
251130,24,3,06,5,5147,田　中　　勇　輔,22,64,6.80,5,0.06,
251130,24,4,01,1,4834,浜　本　　裕　己,57,45,6.85,1,0.23,1.48.1
251130,24,4,02,4,4167,片　岡　　秀　樹,59,15,6.89,4,0.17,1.50.4
251130,24,4,03,5,4553,坪　口　　竜　也,50,49,6.85,5,0.20,1.51.4
251130,24,4,04,2,4504,前　田　　将　太,32,16,6.84,2,0.20,1.52.2
251130,24,4,05,6,4401,小　林　　　　泰,35,26,6.89,6,0.15,
251130,24,4,06,3,5005,石　田　　貴　洋,39,11,6.85,3,0.14,
251130,24,5,01,1,4451,松　崎　　祐太郎,47,59,6.87,1,0.10,1.48.7
251130,24,5,02,6,4826,井　上　　一　輝,33,43,6.82,6,0.13,1.49.6
251130,24,5,03,2,4318,桑　原　　将　光,12,31,6.90,2,0.14,1.51.0
251130,24,5,04,4,3710,吉　永　　泰　弘,24,50,6.83,4,0.14,1.52.1
251130,24,5,05,3,5092,篠　原　　晟　弥,71,41,6.84,3,0.18,
251130,24,5,06,5,4404,岸　蔭　　　　亮,58,35,6.91,5,0.11,
251130,24,6,01,1,3960,菊　地　　孝　平,11,75,6.77,1,0.11,1.47.9
251130,24,6,02,2,5120,山　本　　稔太朗,48,58,6.83,2,0.13,1.49.9
251130,24,6,03,4,3508,久　富　　政　弘,40,61,6.85,4,0.21,1.51.4
251130,24,6,04,3,4497,桑　原　　　　悠,67,21,6.87,3,0.12,1.54.6
251130,24,6,05,5,3773,津　留　　浩一郎,64,40,6.80,5,0.17,
251130,24,6,06,6,4723,寺　島　　吉　彦,61,36,6.92,6,0.16,
251130,24,7,01,1,4477,篠　崎　　仁　志,63,60,6.84,1,0.13,1.49.2
251130,24,7,02,2,3523,寳　田　　亮　治,28,55,6.87,2,0.16,1.50.8
251130,24,7,03,3,3893,汐　崎　　正　則,20,39,6.87,3,0.16,1.52.5
251130,24,7,04,4,3726,桂　林　　　　寛,74,14,6.89,4,0.11,1.54.7
251130,24,7,05,6,4514,上　條　　嘉　嗣,45,51,6.86,6,0.10,
251130,24,7,06,5,4202,浮　田　　圭　浩,25,71,6.88,5,0.11,
251130,24,8,01,1,4163,山　崎　　裕　司,37,56,6.78,1,0.11,1.50.3
251130,24,8,02,5,5170,佐　藤　　太　亮,69,25,6.80,5,0.04,1.51.1
251130,24,8,03,4,4247,齊　藤　　　　優,19,73,6.85,4,0.05,1.52.6
251130,24,8,04,6,5005,石　田　　貴　洋,39,11,6.79,6,0.08,1.52.6
251130,24,8,05,3,3805,高　橋　　英　之,49,65,6.84,3,0.10,
251130,24,8,06,2,3297,藤　丸　　光　一,73,69,6.72,2,0.18,
251130,24,9,01,2,4977,馬　野　　　　耀,17,53,6.84,2,0.13,1.48.8
251130,24,9,02,1,4401,小　林　　　　泰,35,26,6.84,1,0.12,1.50.5
251130,24,9,03,4,3853,岩　崎　　正　哉,54,62,6.86,4,0.10,1.52.2
251130,24,9,04,6,3527,中　嶋　　誠一郎,31,30,6.87,6,0.07,1.53.0
251130,24,9,05,5,4318,桑　原　　将　光,12,31,6.88,5,0.06,
251130,24,9,06,3,5083,柳　瀬　　幹　太,65,54,6.78,3,0.22,
251130,24,10,01,1,4826,井　上　　一　輝,33,43,6.78,1,0.10,1.48.1
251130,24,10,02,5,4497,桑　原　　　　悠,67,21,6.90,5,0.15,1.49.7
251130,24,10,03,4,4553,坪　口　　竜　也,50,49,6.85,4,0.16,1.50.6
251130,24,10,04,3,4451,松　崎　　祐太郎,47,59,6.85,3,0.14,1.51.6
251130,24,10,05,2,3960,菊　地　　孝　平,11,75,6.74,2,0.14,
251130,24,10,06,6,4467,渡　邉　　俊　介,14,66,6.81,6,0.14,
251130,24,11,01,1,4926,吉　川　　貴　仁,34,68,6.78,1,0.11,1.49.1
251130,24,11,02,2,4477,篠　崎　　仁　志,63,60,6.84,2,0.19,1.50.1
251130,24,11,03,6,5120,山　本　　稔太朗,48,58,6.81,6,0.10,1.50.9
251130,24,11,04,4,5092,篠　原　　晟　弥,71,41,6.82,4,0.13,1.52.5
251130,24,11,05,5,4504,前　田　　将　太,32,16,6.83,5,0.13,
251130,24,11,06,3,5073,上　原　　健次郎,38,33,6.81,3,0.15,
251130,24,12,01,1,4352,下　條　　雄太郎,21,37,6.79,1,0.12,1.48.3
251130,24,12,02,6,5136,濱　野　　斗　馬,60,12,6.84,6,0.09,1.50.1
251130,24,12,03,3,4832,権　藤　　俊　光,16,22,6.80,3,0.14,1.51.1
251130,24,12,04,4,4172,森　定　　晃　史,72,18,6.86,4,0.14,1.52.3
251130,24,12,05,2,3909,佐々木　　康　幸,51,72,6.81,2,0.14,
251130,24,12,06,5,5126,山　下　　大　輝,44,44,6.74,5,0.09,
251130,22,1,01,1,4530,小　野　　生　奈,20,134,6.83,1,0.09,1.48.2
251130,22,1,02,2,3435,寺　田　　千　恵,71,138,6.87,2,0.10,1.49.9
251130,22,1,03,3,4738,清　埜　　翔　子,55,146,6.79,3,0.05,1.51.6
251130,22,1,04,4,4208,三　浦　　永　理,28,121,6.85,4,0.08,1.52.2
251130,22,1,05,6,4433,川　野　　芽　唯,53,120,6.85,6,0.03,1.52.7
251130,22,1,06,5,4642,松　尾　　夏　海,73,135,6.93,5,0.07,1.55.3
251130,22,2,01,1,4350,篠　崎　　元　志,70,109,6.78,1,0.11,1.48.7
251130,22,2,02,5,4524,深　谷　　知　博,50,148,6.77,5,0.09,1.49.1
251130,22,2,03,4,4682,大　上　　卓　人,69,123,6.79,4,0.12,1.50.2
251130,22,2,04,2,4914,吉　田　　裕　平,43,128,6.83,2,0.14,1.51.7
251130,22,2,05,6,4013,中　島　　孝　平,44,111,6.89,6,0.17,1.53.4
251130,22,2,06,3,3783,瓜　生　　正　義,67,168,6.84,3,0.17,1.53.7
251130,22,3,01,3,4238,毒　島　　　　誠,25,160,6.83,3,0.20,1.48.3
251130,22,3,02,4,4586,磯　部　　　　誠,61,151,6.79,4,0.18,1.49.8
251130,22,3,03,6,4719,上　條　　暢　嵩,47,144,6.76,6,0.25,1.51.9
251130,22,3,04,1,4237,大　峯　　　　豊,21,143,6.81,1,0.21,1.53.9
251130,22,3,05,2,4344,新　田　　雄　史,30,125,6.84,2,0.24,1.55.1
251130,22,3,06,5,4848,仲　谷　　颯　仁,49,165,6.83,5,0.20,1.56.1
251130,22,4,01,1,4444,桐　生　　順　平,22,169,6.85,1,0.11,1.49.1
251130,22,4,02,3,3779,原　田　　幸　哉,60,130,6.86,3,0.09,1.49.6
251130,22,4,03,2,4371,西　山　　貴　浩,38,133,6.87,2,0.13,1.52.4
251130,22,4,04,6,5084,末　永　　和　也,11,172,6.85,6,0.16,1.52.8
251130,22,4,05,4,3716,石　渡　　鉄　兵,31,159,6.91,4,0.12,1.53.8
251130,22,4,06,5,4030,森　高　　一　真,23,110,6.90,5,0.14,1.54.9
251130,22,5,01,2,3618,海　野　　ゆかり,37,118,6.83,2,0.08,1.49.8
251130,22,5,02,3,3999,大　瀧　　明日香,16,101,6.89,3,0.12,1.51.3
251130,22,5,03,1,4884,勝　浦　　真　帆,39,170,6.84,1,0.10,1.53.2
251130,22,5,04,6,5088,高　憧　　四　季,65,124,6.80,6,0.12,1.54.1
251130,22,5,05,4,4456,鎌　倉　　　　涼,33,126,6.90,4,0.23,1.54.3
251130,22,5,06,5,3611,岩　崎　　芳　美,14,137,6.92,5,0.21,1.56.3
251130,22,6,01,1,4166,吉　田　　拡　郎,29,116,6.83,1,0.05,1.49.2
251130,22,6,02,2,4571,菅　　　　章　哉,52,119,6.74,2,0.04,1.50.8
251130,22,6,03,3,4686,丸　野　　一　樹,63,171,6.83,3,0.07,1.51.0
251130,22,6,04,6,4024,井　口　　佳　典,54,108,6.78,6,0.12,1.52.8
251130,22,6,05,5,4503,上　野　　真之介,68,113,6.89,5,0.09,1.53.3
251130,22,6,06,4,4459,片　岡　　雅　裕,13,136,6.84,4,0.10,1.55.0
251130,22,7,01,2,4848,仲　谷　　颯　仁,49,165,6.84,2,0.14,1.48.9
