hd,jcd,rno,shiki,combo,payout,ninki
250831,24,1,単勝,1,180,
250831,24,1,複勝,1,120,
250831,24,1,複勝,3,130,
250831,24,1,２連単,1-3,360,1
250831,24,1,２連複,1-3,220,1
250831,24,1,拡連複,1-3,130,1
250831,24,1,拡連複,1-2,440,8
250831,24,1,拡連複,2-3,390,5
250831,24,1,３連単,1-3-2,2020,7
250831,24,1,３連複,1-2-3,830,5
250831,24,2,単勝,4,230,
250831,24,2,複勝,4,100,
250831,24,2,複勝,2,160,
250831,24,2,２連単,4-2,560,3
250831,24,2,２連複,2-4,270,1
250831,24,2,拡連複,2-4,120,1
250831,24,2,拡連複,4-5,200,4
250831,24,2,拡連複,2-5,290,5
250831,24,2,３連単,4-2-5,1420,6
250831,24,2,３連複,2-4-5,520,2
250831,24,3,単勝,1,270,
250831,24,3,複勝,1,100,
250831,24,3,複勝,4,100,
250831,24,3,２連単,1-4,280,1
250831,24,3,２連複,1-4,240,1
250831,24,3,拡連複,1-4,110,1
250831,24,3,拡連複,1-3,220,3
250831,24,3,拡連複,3-4,230,5
250831,24,3,３連単,1-4-3,1010,2
250831,24,3,３連複,1-3-4,380,2
250831,24,4,単勝,1,190,
250831,24,4,複勝,1,100,
250831,24,4,複勝,2,130,
250831,24,4,２連単,1-2,330,1
250831,24,4,２連複,1-2,240,1
250831,24,4,拡連複,1-2,130,1
250831,24,4,拡連複,1-3,410,8
250831,24,4,拡連複,2-3,280,5
250831,24,4,３連単,1-2-3,1970,6
250831,24,4,３連複,1-2-3,960,4
250831,24,5,単勝,5,490,
250831,24,5,複勝,5,250,
250831,24,5,複勝,3,650,
250831,24,5,２連単,5-3,4090,14
250831,24,5,２連複,3-5,6570,10
250831,24,5,拡連複,3-5,1620,14
250831,24,5,拡連複,5-6,750,8
250831,24,5,拡連複,3-6,3000,15
250831,24,5,３連単,5-3-6,62710,90
250831,24,5,３連複,3-5-6,12570,19
250831,24,6,単勝,1,130,
250831,24,6,複勝,1,100,
250831,24,6,複勝,3,120,
250831,24,6,２連単,1-3,270,1
250831,24,6,２連複,1-3,170,1
250831,24,6,拡連複,1-3,130,1
250831,24,6,拡連複,1-4,190,4
250831,24,6,拡連複,3-4,290,6
250831,24,6,３連単,1-3-4,750,2
250831,24,6,３連複,1-3-4,420,2
250831,24,7,単勝,2,120,
250831,24,7,複勝,2,100,
250831,24,7,複勝,1,100,
250831,24,7,２連単,2-1,320,2
250831,24,7,２連複,1-2,130,1
250831,24,7,拡連複,1-2,120,1
250831,24,7,拡連複,2-4,250,5
250831,24,7,拡連複,1-4,190,4
250831,24,7,３連単,2-1-4,970,4
250831,24,7,３連複,1-2-4,340,2
250831,24,8,単勝,4,120,
250831,24,8,複勝,4,100,
250831,24,8,複勝,2,220,
250831,24,8,２連単,4-2,630,3
250831,24,8,２連複,2-4,550,3
250831,24,8,拡連複,2-4,230,4
250831,24,8,拡連複,1-4,220,3
250831,24,8,拡連複,1-2,580,9
250831,24,8,３連単,4-2-1,1830,7
250831,24,8,３連複,1-2-4,500,3
250831,24,9,単勝,5,460,
250831,24,9,複勝,5,280,
250831,24,9,複勝,2,260,
250831,24,9,２連単,5-2,3330,8
250831,24,9,２連複,2-5,2100,4
250831,24,9,拡連複,2-5,240,3
250831,24,9,拡連複,5-6,680,8
250831,24,9,拡連複,2-6,2300,13
250831,24,9,３連単,5-2-6,26170,34
250831,24,9,３連複,2-5-6,10910,14
250831,24,10,単勝,4,280,
250831,24,10,複勝,4,210,
250831,24,10,複勝,1,120,
250831,24,10,２連単,4-1,890,4
250831,24,10,２連複,1-4,240,1
250831,24,10,拡連複,1-4,150,1
250831,24,10,拡連複,2-4,200,4
250831,24,10,拡連複,1-2,160,2
250831,24,10,３連単,4-1-2,3980,12
250831,24,10,３連複,1-2-4,390,1
250831,24,11,単勝,1,100,
250831,24,11,複勝,1,100,
250831,24,11,複勝,4,200,
250831,24,11,２連単,1-4,320,1
250831,24,11,２連複,1-4,200,1
250831,24,11,拡連複,1-4,140,1
250831,24,11,拡連複,1-3,270,3
250831,24,11,拡連複,3-4,480,9
250831,24,11,３連単,1-4-3,1190,5
250831,24,11,３連複,1-3-4,510,3
250831,24,12,単勝,3,150,
250831,24,12,複勝,3,100,
250831,24,12,複勝,1,100,
250831,24,12,２連単,3-1,200,1
250831,24,12,２連複,1-3,110,1
250831,24,12,拡連複,1-3,100,1
250831,24,12,拡連複,3-6,190,3
250831,24,12,拡連複,1-6,260,5
250831,24,12,３連単,3-1-6,700,2
250831,24,12,３連複,1-3-6,290,1
250831,21,1,単勝,1,100,
250831,21,1,複勝,1,100,
250831,21,1,複勝,3,230,
250831,21,1,２連単,1-3,330,2
250831,21,1,２連複,1-3,570,2
250831,21,1,拡連複,1-3,180,2
250831,21,1,拡連複,1-2,140,1
250831,21,1,拡連複,2-3,250,6
250831,21,1,３連単,1-3-2,1030,3
250831,21,1,３連複,1-2-3,470,1
250831,21,2,単勝,5,1000,
250831,21,2,複勝,5,390,
250831,21,2,複勝,1,110,
250831,21,2,２連単,5-1,5130,13
250831,21,2,２連複,1-5,1320,5
250831,21,2,拡連複,1-5,360,7
250831,21,2,拡連複,4-5,310,6
250831,21,2,拡連複,1-4,130,1
250831,21,2,３連単,5-1-4,13110,30
250831,21,2,３連複,1-4-5,420,3
250831,21,3,単勝,1,130,
250831,21,3,複勝,1,100,
250831,21,3,複勝,3,120,
250831,21,3,２連単,1-3,290,2
250831,21,3,２連複,1-3,330,3
250831,21,3,拡連複,1-3,170,2
250831,21,3,拡連複,1-6,450,7
250831,21,3,拡連複,3-6,880,11
250831,21,3,３連単,1-3-6,3310,11
250831,21,3,３連複,1-3-6,2010,7
250831,21,4,単勝,3,420,
250831,21,4,複勝,3,100,
250831,21,4,複勝,1,100,
250831,21,4,２連単,3-1,1140,4
250831,21,4,２連複,1-3,220,1
250831,21,4,拡連複,1-3,150,2
250831,21,4,拡連複,2-3,470,8
250831,21,4,拡連複,1-2,240,3
250831,21,4,３連単,3-1-2,6680,23
250831,21,4,３連複,1-2-3,550,3
250831,21,5,単勝,1,100,
250831,21,5,複勝,1,100,
250831,21,5,複勝,3,250,
250831,21,5,２連単,1-3,310,2
250831,21,5,２連複,1-3,280,2
250831,21,5,拡連複,1-3,160,3
250831,21,5,拡連複,1-5,130,1
250831,21,5,拡連複,3-5,230,5
250831,21,5,３連単,1-3-5,620,1
250831,21,5,３連複,1-3-5,260,1
250831,21,6,単勝,1,110,
250831,21,6,複勝,1,100,
250831,21,6,複勝,4,190,
250831,21,6,２連単,1-4,600,2
250831,21,6,２連複,1-4,470,2
